,Movie_Name,Rating,Year
0, 1. The Shawshank Redemption (1994) ,  9.3 ,(1994)
1, 2. The Godfather (1972) ,  9.2 ,(1972)
2, 3. The Dark Knight (2008) ,  9.0 ,(2008)
3, 4. The Godfather: Part II (1974) ,  9.0 ,(1974)
4, 5. 12 Angry Men (1957) ,  9.0 ,(1957)
5, 6. The Lord of the Rings: The Return of the King (2003) ,  8.9 ,(2003)
6, 7. Pulp Fiction (1994) ,  8.9 ,(1994)
7, 8. Schindler's List (1993) ,  8.9 ,(1993)
8, 9. Inception (2010) ,  8.8 ,(2010)
9, 10. Fight Club (1999) ,  8.8 ,(1999)
10, 11. The Lord of the Rings: The Fellowship of the Ring (2001) ,  8.8 ,(2001)
11, 12. Forrest Gump (1994) ,  8.8 ,(1994)
12," 13. Il buono, il brutto, il cattivo (1966) ",  8.8 ,(1966)
13, 14. The Lord of the Rings: The Two Towers (2002) ,  8.7 ,(2002)
14, 15. The Matrix (1999) ,  8.7 ,(1999)
15, 16. Goodfellas (1990) ,  8.7 ,(1990)
16, 17. Star Wars: Episode V - The Empire Strikes Back (1980) ,  8.7 ,(1980)
17, 18. One Flew Over the Cuckoo's Nest (1975) ,  8.7 ,(1975)
18, 19. Gisaengchung (2019) ,  8.6 ,(2019)
19, 20. Interstellar (2014) ,  8.6 ,(2014)
20, 21. Cidade de Deus (2002) ,  8.6 ,(2002)
21, 22. Sen to Chihiro no kamikakushi (2001) ,  8.6 ,(2001)
22, 23. Saving Private Ryan (1998) ,  8.6 ,(1998)
23, 24. The Green Mile (1999) ,  8.6 ,(1999)
24, 25. La vita è bella (1997) ,  8.6 ,(1997)
25, 26. Se7en (1995) ,  8.6 ,(1995)
26, 27. The Silence of the Lambs (1991) ,  8.6 ,(1991)
27, 28. Star Wars (1977) ,  8.6 ,(1977)
28, 29. Seppuku (1962) ,  8.6 ,(1962)
29, 30. Shichinin no samurai (1954) ,  8.6 ,(1954)
30, 31. It's a Wonderful Life (1946) ,  8.6 ,(1946)
31, 32. Hamilton (2020) ,  8.5 ,(2020)
32, 33. Whiplash (2014) ,  8.5 ,(2014)
33, 34. The Intouchables (2011) ,  8.5 ,(2011)
34, 35. The Prestige (2006) ,  8.5 ,(2006)
35, 36. The Departed (2006) ,  8.5 ,(2006)
36, 37. The Pianist (2002) ,  8.5 ,(2002)
37, 38. Gladiator (2000) ,  8.5 ,(2000)
38, 39. American History X (1998) ,  8.5 ,(1998)
39, 40. The Usual Suspects (1995) ,  8.5 ,(1995)
40, 41. Léon (1994) ,  8.5 ,(1994)
41, 42. The Lion King (1994) ,  8.5 ,(1994)
42, 43. Terminator 2: Judgment Day (1991) ,  8.5 ,(1991)
43, 44. Nuovo Cinema Paradiso (1988) ,  8.5 ,(1988)
44, 45. Hotaru no haka (1988) ,  8.5 ,(1988)
45, 46. Back to the Future (1985) ,  8.5 ,(1985)
46, 47. Once Upon a Time in the West (1968) ,  8.5 ,(1968)
47, 48. Psycho (1960) ,  8.5 ,(1960)
48, 49. Casablanca (1942) ,  8.5 ,(1942)
49, 50. Modern Times (1936) ,  8.5 ,(1936)
50, 51. City Lights (1931) ,  8.5 ,(1931)
51, 52. Capharnaüm (2018) ,  8.4 ,(2018)
52, 53. Joker (2019) ,  8.4 ,(2019)
53, 54. Kimi no na wa. (2016) ,  8.4 ,(2016)
54, 55. Dangal (2016) ,  8.4 ,(2016)
55, 56. Spider-Man: Into the Spider-Verse (2018) ,  8.4 ,(2018)
56, 57. Avengers: Endgame (2019) ,  8.4 ,(2019)
57, 58. Avengers: Infinity War (2018) ,  8.4 ,(2018)
