Name,Year,Engine,Fuel,Transmission,Driven_KM,No_of_Owner,Location, Price 
Maruti Wagon R LXI CNG,2010,998 CC,CNG,Manual,72000,First,Mumbai,1.75
Hyundai Creta 1.6 CRDi SX Option,2015,1582 CC,Diesel,Manual,41000,First,Pune,12.5
Honda Jazz V,2011,1199 CC,Petrol,Manual,46000,First,Chennai,4.5
Maruti Ertiga VDI,2012,1248 CC,Diesel,Manual,87000,First,Chennai,6
Audi A4 New 2.0 TDI Multitronic,2013,1968 CC,Diesel,Automatic,40670,Second,Coimbatore,17.74
Hyundai EON LPG Era Plus Option,2012,814 CC,LPG,Manual,75000,First,Hyderabad,2.35
Nissan Micra Diesel XV,2013,1461 CC,Diesel,Manual,86999,First,Jaipur,3.5
Toyota Innova Crysta 2.8 GX AT 8S,2016,2755 CC,Diesel,Automatic,36000,First,Mumbai,17.5
Volkswagen Vento Diesel Comfortline,2013,1598 CC,Diesel,Manual,64430,First,Pune,5.2
Tata Indica Vista Quadrajet LS,2012,1248 CC,Diesel,Manual,65932,Second,Chennai,1.95
Maruti Ciaz Zeta,2018,1462 CC,Petrol,Manual,25692,First,Kochi,9.95
Honda City 1.5 V AT Sunroof,2012,1497 CC,Petrol,Automatic,60000,First,Kolkata,4.49
Maruti Swift VDI BSIV,2015,1248 CC,Diesel,Manual,64424,First,Jaipur,5.6
Land Rover Range Rover 2.2L Pure,2014,2179 CC,Diesel,Automatic,72000,First,Delhi,27
Land Rover Freelander 2 TD4 SE,2012,2179 CC,Diesel,Automatic,85000,Second,Pune,17.5
Mitsubishi Pajero Sport 4X4,2014,2477 CC,Diesel,Manual,110000,First,Delhi,15
Honda Amaze S i-Dtech,2016,1498 CC,Diesel,Manual,58950,First,Kochi,5.4
Maruti Swift DDiS VDI,2017,1248 CC,Diesel,Manual,25000,First,Jaipur,5.99
Renault Duster 85PS Diesel RxL Plus,2014,1461 CC,Diesel,Manual,77469,First,Kochi,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,2143 CC,Diesel,Automatic,78500,First,Bangalore,28
BMW 3 Series 320d,2014,1995 CC,Diesel,Automatic,32982,First,Kochi,18.55
Maruti S Cross DDiS 200 Alpha,2015,1248 CC,Diesel,Manual,55392,Second,Bangalore,8.25
Audi A6 2011-2015 35 TFSI Technology,2015,1984 CC,Petrol,Automatic,55985,First,Mumbai,23.5
Hyundai i20 1.2 Magna,2010,1197 CC,Petrol,Manual,45807,First,Kolkata,1.87
Volkswagen Vento Petrol Highline AT,2010,1598 CC,Petrol,Automatic,33000,First,Kolkata,2.85
Honda City Corporate Edition,2012,1497 CC,Petrol,Manual,51920,First,Mumbai,4.25
Nissan Micra Diesel XV,2012,1461 CC,Diesel,Manual,54000,First,Hyderabad,4.25
Maruti Alto K10 2010-2014 VXI,2013,998 CC,Petrol,Manual,54000,Second,Hyderabad,2.75
Honda WRV i-VTEC VX,2018,1199 CC,Petrol,Manual,37430,First,Kochi,9.9
Toyota Innova 2.5 V Diesel 7-seater,2007,2494 CC,Diesel,Manual,262000,Fourth & Above,Mumbai,4
Renault Duster 110PS Diesel RxZ Pack,2013,1461 CC,Diesel,Manual,62000,First,Bangalore,7.75
Toyota Corolla Altis G,2012,1798 CC,Petrol,Manual,87615,First,Delhi,6.75
Mahindra Ssangyong Rexton RX7,2013,2696 CC,Diesel,Automatic,72000,Second,Bangalore,12.5
Audi A6 2.7 TDI,2010,2698 CC,Diesel,Automatic,35000,First,Kolkata,11.5
Volkswagen Vento 1.6 Highline,2014,1598 CC,Petrol,Manual,55431,Second,Coimbatore,6.98
Maruti Wagon R LXI BSIII,2009,1061 CC,Petrol,Manual,83816,Second,Jaipur,1.85
Maruti Vitara Brezza ZDi Plus,2018,1248 CC,Diesel,Manual,50075,First,Kochi,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,1198 CC,Petrol,Manual,52000,First,Delhi,4.85
Mercedes-Benz M-Class ML 350 CDI,2013,2987 CC,Diesel,Automatic,85000,First,Pune,28
Volkswagen Polo Diesel Trendline 1.2L,2013,1199 CC,Diesel,Manual,62000,First,Chennai,5
Maruti Alto LXi,2008,796 CC,Petrol,Manual,90000,Second,Delhi,1.25
Tata Nano LX SE,2014,624 CC,Petrol,Manual,19698,First,Kochi,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,1198 CC,Diesel,Manual,22033,First,Coimbatore,5.58
Hyundai i20 Magna Optional 1.2,2014,1197 CC,Petrol,Manual,35487,First,Kochi,4.74
Hyundai Elantra 2.0 SX Option AT,2014,1999 CC,Petrol,Automatic,46374,First,Bangalore,8.85
Toyota Corolla Altis G AT,2016,1798 CC,Petrol,Automatic,52001,First,Mumbai,10.11
Hyundai Elantra CRDi,2008,1991 CC,Diesel,Manual,58005,Second,Ahmedabad,4.25
Toyota Innova Crysta 2.7 GX MT,2012,2694 CC,Petrol,Manual,70704,First,Bangalore,10.95
Hyundai Xcent 1.1 CRDi S,2014,1120 CC,Diesel,Manual,75000,First,Jaipur,3.85
Mahindra Thar CRDe AC,2012,2498 CC,Diesel,Manual,75800,Second,Jaipur,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,1968 CC,Diesel,Automatic,13648,First,Kochi,21.43
Maruti Swift LDI,2014,1248 CC,Diesel,Manual,52000,First,Delhi,4.25
Maruti Swift Ldi BSIV,2014,1248 CC,Diesel,Manual,53000,First,Kolkata,3.3
Maruti Swift VDI,2013,1248 CC,Diesel,Manual,65650,First,Delhi,3.85
Hyundai Grand i10 Sportz,2015,1197 CC,Petrol,Manual,54000,Third,Chennai,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,2015,1598 CC,Petrol,Manual,39000,First,Kolkata,3.99
Renault KWID RXT,2017,799 CC,Petrol,Manual,16542,First,Kochi,3.3
Hyundai i10 Asta,2010,1197 CC,Petrol,Manual,32000,First,Kolkata,2.07
Nissan X-Trail SLX AT,2010,1995 CC,Diesel,Automatic,121812,First,Hyderabad,7.75
Maruti Zen Estilo VXI BSIII,2010,998 CC,Petrol,Manual,39300,First,Hyderabad,2.25
Toyota Innova Crysta 2.4 GX MT 8S,2017,2393 CC,Diesel,Manual,22000,First,Mumbai,16.5
Ford Figo Diesel Titanium,2010,1399 CC,Diesel,Manual,72000,First,Bangalore,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,1796 CC,Petrol,Automatic,58000,First,Delhi,26.7
